Complaint,Category
Data di SIMAK sering tidak sinkron.,SIMAK
Prodi tidak memperhatikan kesejahteraan mahasiswa.,Prodi
Prodi tidak menyediakan mata kuliah pilihan yang menarik.,Prodi
Tidak ada pendingin ruangan di laboratorium.,Fasilitas Kampus
Tidak ada tempat duduk di area umum kampus.,Fasilitas Kampus
Sistem informasi akademik sering down.,SIMAK
Layanan administrasi seringkali tidak responsif.,Tata Usaha/Pelayanan Administrasi
Evaluasi pengajaran tidak transparan.,Kualitas Pengajaran
SIMAK sering logout sendiri.,SIMAK
Perpustakaan kurang lengkap.,Fasilitas Kampus
Menu di SIMAK tidak lengkap.,SIMAK
Prodi tidak memiliki tim akademik yang solid.,Prodi
Kurikulum prodi tidak relevan dengan kebutuhan industri.,Prodi
Sering terjadi error saat login SIMAK.,SIMAK
Fasilitas kampus sering tidak bersih.,Fasilitas Kampus
Petugas administrasi sering tidak ada di tempat.,Tata Usaha/Pelayanan Administrasi
Proses verifikasi di SIMAK lambat.,SIMAK
Proses administrasi sering berbelit-belit.,Tata Usaha/Pelayanan Administrasi
Fasilitas olahraga kurang lengkap.,Fasilitas Kampus
Laboratorium tidak lengkap.,Fasilitas Kampus
Pengisian KRS sering bermasalah.,SIMAK
Pengajaran lebih banyak teori daripada praktik.,Kualitas Pengajaran
Tidak ada acara alumni yang diselenggarakan prodi.,Prodi
Proses registrasi mata kuliah lambat.,SIMAK
Dosen sering terlambat masuk kelas.,Kualitas Pengajaran
Dosen tidak menggunakan teknologi dalam pengajaran.,Kualitas Pengajaran
Bahan ajar kurang lengkap.,Kualitas Pengajaran
Lapangan olahraga kurang terawat.,Fasilitas Kampus
